Column1,Column2
0,1.655273438
0.009615385,1.640625
0.019230769,1.655273438
0.028846154,1.689453125
0.038461538,1.733398438
0.048076923,1.7578125
0.057692308,1.762695313
0.067307692,1.743164063
0.076923077,1.713867188
0.086538462,1.69921875
0.096153846,1.704101563
0.105769231,1.704101563
0.115384615,1.708984375
0.125,1.71875
0.134615385,1.684570313
0.144230769,1.748046875
0.153846154,1.71875
0.163461538,1.713867188
0.173076923,1.669921875
0.182692308,1.782226563
0.192307692,1.665039063
0.201923077,1.743164063
0.211538462,1.69921875
0.221153846,1.782226563
0.230769231,1.665039063
0.240384615,1.7578125
0.25,1.69921875
0.259615385,1.845703125
0.269230769,1.762695313
0.278846154,1.923828125
0.288461538,1.81640625
0.298076923,1.840820313
0.307692308,1.723632813
0.317307692,1.704101563
0.326923077,1.713867188
0.336538462,1.752929688
0.346153846,1.704101563
0.355769231,1.772460938
0.365384615,1.767578125
0.375,1.772460938
0.384615385,1.7578125
0.394230769,1.831054688
0.403846154,2.626953125
0.413461538,3.18359375
0.423076923,2.2265625
0.432692308,1.469726563
0.442307692,1.69921875
0.451923077,1.616210938
0.461538462,1.723632813
0.471153846,1.684570313
0.480769231,1.782226563
0.490384615,1.694335938
0.5,1.811523438
0.509615385,1.723632813
0.519230769,1.806640625
0.528846154,1.791992188
0.538461538,1.840820313
0.548076923,1.801757813
0.557692308,1.85546875
0.567307692,1.870117188
0.576923077,1.89453125
0.586538462,1.879882813
0.596153846,1.97265625
0.605769231,1.982421875
0.615384615,2.055664063
0.625,2.08984375
0.634615385,2.124023438
0.644230769,2.172851563
0.653846154,2.109375
0.663461538,2.163085938
0.673076923,2.065429688
0.682692308,2.055664063
0.692307692,1.889648438
0.701923077,1.89453125
0.711538462,1.787109375
0.721153846,1.840820313
0.730769231,1.767578125
0.740384615,1.831054688
0.75,1.787109375
0.759615385,1.9140625
0.769230769,1.821289063
0.778846154,1.879882813
0.788461538,1.865234375
0.798076923,1.928710938
0.807692308,1.865234375
0.817307692,1.918945313
0.826923077,1.918945313
0.836538462,1.953125
0.846153846,1.918945313
0.855769231,1.943359375
0.865384615,1.938476563
0.875,1.938476563
0.884615385,1.967773438
