Column1,Column2
0,1.655273438
0.002,1.649233893
0.004,1.64486546
0.006,1.642062139
0.008,1.640717932
0.01,1.640726839
0.012,1.641982862
0.014,1.644380001
0.016,1.647812259
0.018,1.652173635
0.02,1.657359161
0.022,1.663307844
0.024,1.670018176
0.026,1.677492871
0.028,1.685734643
0.03,1.694732292
0.032,1.704246082
0.034,1.713849361
0.036,1.72310999
0.038,1.73159583
0.04,1.738918446
0.042,1.74504636
0.044,1.750122398
0.046,1.754290565
0.048,1.757694866
0.05,1.760436651
0.052,1.762425764
0.054,1.763518328
0.056,1.763570461
0.058,1.762438472
0.06,1.760057733
0.062,1.756564642
0.064,1.752127077
0.066,1.746912917
0.068,1.741090697
0.07,1.73486511
0.072,1.728494999
0.074,1.722243654
0.076,1.716374367
0.078,1.711146104
0.08,1.706734302
0.082,1.703238845
0.084,1.700756896
0.086,1.699385617
0.088,1.699190594
0.09,1.699944227
0.092,1.701259795
0.094,1.702749001
0.096,1.704023546
0.098,1.704764101
0.1,1.704999097
0.102,1.704866324
0.104,1.704503616
0.106,1.70404886
0.108,1.703692081
0.11,1.703771405
0.112,1.704651087
0.114,1.706695377
0.116,1.710259017
0.118,1.71500463
0.12,1.719445717
0.122,1.72198744
0.124,1.721034957
0.126,1.715097042
0.128,1.705065632
0.13,1.69421582
0.132,1.685926316
0.134,1.68357583
0.136,1.690119831
0.138,1.70402478
0.14,1.721053393
0.142,1.736931233
0.144,1.74738386
0.146,1.749026554
0.148,1.743518866
0.15,1.734295905
0.152,1.724794757
0.154,1.718452008
0.156,1.717335775
0.158,1.719162551
0.16,1.720785794
0.162,1.719058962
0.164,1.710864359
0.166,1.695991025
0.168,1.679583914
0.17,1.667364788
0.172,1.665055408
0.174,1.678133111
0.176,1.705291331
0.178,1.737723303
0.18,1.766234121
0.182,1.781628883
0.184,1.77561767
0.186,1.750935967
0.188,1.717679782
0.19,1.686079409
0.192,1.66636514
0.194,1.66684681
0.196,1.683569882
0.198,1.707756313
0.2,1.730616518
0.202,1.743361067
0.204,1.740294696
0.206,1.72675211
0.208,1.710524761
0.21,1.6994041
0.212,1.701147329
0.214,1.718452668
0.216,1.743658088
0.218,1.767833007
0.22,1.782046845
0.222,1.777611321
0.224,1.754090001
0.226,1.721135479
0.228,1.689014747
0.23,1.667994797
0.232,1.667555759
0.234,1.686092538
0.236,1.713805617
0.238,1.740703368
0.24,1.756794167
0.242,1.753858724
0.244,1.736457665
0.246,1.714757216
0.248,1.698947528
0.25,1.69921875
0.252,1.722142131
0.254,1.759813319
0.256,1.80070906
0.258,1.833306104
0.26,1.846109599
0.262,1.83428032
0.264,1.808152845
0.266,1.780166074
0.268,1.76275891
0.27,1.768132255
0.272,1.798335031
0.274,1.841682801
0.276,1.885516291
0.278,1.917176232
0.28,1.924745049
0.282,1.908484617
0.284,1.878618418
0.286,1.845662436
0.288,1.820132656
0.29,1.811156643
0.292,1.816522719
0.294,1.828482184
0.296,1.839248849
0.298,1.841036526
0.3,1.828081657
0.302,1.803701628
0.304,1.773761237
0.306,1.744125415
0.308,1.72065386
0.31,1.707020183
0.312,1.701339596
0.314,1.700856927
0.316,1.702817007
0.318,1.704493838
0.32,1.704760434
0.322,1.704884984
0.324,1.706332279
0.326,1.710567109
0.328,1.718935382
0.33,1.730485793
0.332,1.742189217
0.334,1.750941662
0.336,1.753639139
0.338,1.747680284
0.34,1.735130855
0.342,1.720589527
0.344,1.708680111
0.346,1.704026416
0.348,1.710080043
0.35,1.724382012
0.352,1.74261463
0.354,1.760459525
0.356,1.773600036
0.358,1.779258961
0.36,1.779032608
0.362,1.775288695
0.364,1.770394938
0.366,1.766704304
0.368,1.765496361
0.37,1.76626852
0.372,1.768350164
0.374,1.771070675
0.376,1.773747009
0.378,1.775410315
0.38,1.774805929
0.382,1.770666765
0.384,1.761725733
0.386,1.74742396
0.388,1.734714106
0.39,1.735073047
0.392,1.760039832
0.394,1.821153511
0.396,1.927397004
0.398,2.073261198
0.4,2.248135855
0.402,2.441405062
0.404,2.64245212
0.406,2.838499304
0.408,3.009896996
0.41,3.135632714
0.412,3.194693974
0.414,3.166220737
0.416,3.044714838
0.418,2.852983704
0.42,2.616883135
0.422,2.362268935
0.424,2.114739171
0.426,1.892738622
0.428,1.706803473
0.43,1.56706064
0.432,1.483637037
0.434,1.465073517
0.436,1.500587956
0.438,1.566498275
0.44,1.638887052
0.442,1.693836866
0.444,1.711401681
0.446,1.696997444
0.448,1.666014816
0.45,1.633868329
0.452,1.615972268
0.454,1.622889036
0.456,1.647885211
0.458,1.680375005
0.46,1.709772633
0.462,1.725531885
0.464,1.722952488
0.466,1.709306015
0.468,1.69332992
0.47,1.683761658
0.472,1.689113892
0.474,1.710243712
0.476,1.738648208
0.478,1.765254468
0.48,1.780989582
0.482,1.777527425
0.484,1.757062535
0.486,1.729566541
0.488,1.705193394
0.49,1.694097045
0.492,1.704621885
0.494,1.732063981
0.496,1.765996066
0.498,1.795966448
0.5,1.811523438
0.502,1.8055418
0.504,1.784202131
0.506,1.757011487
0.508,1.733476922
0.51,1.723085597
0.512,1.730663015
0.514,1.750406816
0.516,1.775040754
0.518,1.79728858
0.52,1.809991388
0.522,1.810995429
0.524,1.804917823
0.526,1.7968563
0.528,1.791908595
0.53,1.794868009
0.532,1.805528783
0.534,1.819596413
0.536,1.832656332
0.538,1.840293978
0.54,1.838762532
0.542,1.829768674
0.544,1.817682058
0.546,1.806890369
0.548,1.801781292
0.55,1.805591383
0.552,1.816389016
0.554,1.830792773
0.556,1.845421158
0.558,1.856895956
0.56,1.863208792
0.562,1.86583428
0.564,1.866792433
0.566,1.868103262
0.568,1.871758559
0.57,1.878203318
0.572,1.885565568
0.574,1.891783157
0.576,1.894793931
0.578,1.892682869
0.58,1.886377991
0.582,1.87937884
0.584,1.875277614
0.586,1.877666509
0.588,1.889618064
0.59,1.90937957
0.592,1.932579581
0.594,1.954820664
0.596,1.971705385
0.598,1.979899829
0.6,1.981432592
0.602,1.980018635
0.604,1.979373534
0.606,1.983211258
0.608,1.993801839
0.61,2.009313152
0.612,2.027189526
0.614,2.04487529
0.616,2.059831895
0.618,2.070766592
0.62,2.078455032
0.622,2.08386788
0.624,2.087975802
0.626,2.091745538
0.628,2.096053482
0.63,2.10168569
0.632,2.109424286
0.634,2.120051397
0.636,2.13412294
0.638,2.149795592
0.64,2.163780961
0.642,2.172770799
0.644,2.173456853
0.646,2.163558231
0.648,2.14661865
0.65,2.128232065
0.652,2.113994712
0.654,2.109501892
0.656,2.117796015
0.658,2.133801473
0.66,2.150832656
0.662,2.162203956
0.664,2.161273124
0.666,2.145767576
0.668,2.121466208
0.67,2.09501502
0.672,2.073060014
0.674,2.062023914
0.676,2.062132504
0.678,2.066760303
0.68,2.068927274
0.682,2.061653381
0.684,2.038660774
0.686,2.002226309
0.688,1.960337936
0.69,1.921087798
0.692,1.892568035
0.694,1.881273753
0.696,1.883501091
0.698,1.891534996
0.7,1.897650816
0.702,1.894124045
0.704,1.87607409
0.706,1.848758246
0.708,1.819691858
0.71,1.796390271
0.712,1.786337926
0.714,1.792454563
0.716,1.808311902
0.718,1.826337056
0.72,1.838957135
0.722,1.838785975
0.724,1.824796582
0.726,1.80373693
0.728,1.782828468
0.73,1.769292646
0.732,1.769795573
0.734,1.783179814
0.736,1.802504597
0.738,1.820693576
0.74,1.830670399
0.742,1.826674092
0.744,1.812428541
0.746,1.79581794
0.748,1.784744235
0.75,1.787109375
0.752,1.807914322
0.754,1.8405561
0.756,1.875530749
0.758,1.903334306
0.76,1.914484773
0.762,1.904646031
0.764,1.881213792
0.766,1.85321075
0.768,1.829659603
0.77,1.819435373
0.772,1.825113997
0.774,1.840750155
0.776,1.859793665
0.778,1.875694344
0.78,1.882273279
0.782,1.879448191
0.784,1.872123258
0.786,1.865349075
0.788,1.864176237
0.79,1.872856527
0.792,1.88911782
0.794,1.907502327
0.796,1.92253069
0.798,1.928723552
0.8,1.922271877
0.802,1.906865816
0.804,1.888299219
0.806,1.872366041
0.808,1.864853982
0.81,1.868936492
0.812,1.881139956
0.814,1.896949908
0.816,1.911851883
0.818,1.921383612
0.82,1.923944017
0.822,1.922217819
0.824,1.919241525
0.826,1.918051644
0.828,1.921530577
0.83,1.929582825
0.832,1.939419388
0.834,1.948154221
0.836,1.952901278
0.838,1.95115548
0.84,1.943949186
0.842,1.93423458
0.844,1.924982897
0.846,1.91916537
0.848,1.919082656
0.85,1.923654193
0.852,1.930736115
0.854,1.93818417
0.856,1.943854874
0.858,1.946296526
0.86,1.946022735
0.862,1.943893757
0.864,1.940769848
0.866,1.93750975
0.868,1.934862143
0.87,1.933392965
0.872,1.933650928
0.874,1.93618474
0.876,1.941495497
0.878,1.948989104
0.88,1.956976281
0.882,1.963720134
0.884,1.967483765
0.886,1.966761507
0.888,1.962500192
0.89,1.957123796
0.892,1.953076592
0.894,1.952802858
0.896,1.958115152
0.898,1.967244511
0.9,1.977161291
0.902,1.984834449
0.904,1.987233443
0.906,1.982709421
0.908,1.974007195
0.91,1.964742951
0.912,1.958532872
0.914,1.958968203
0.916,1.967126885
0.918,1.979455878
0.92,1.99190341
0.922,2.000417709
0.924,2.001103069
0.926,1.994395355
0.928,1.985519364
0.93,1.979947723
0.932,1.983153057
0.934,1.999951847
0.936,2.027166763
0.938,2.056283834
0.94,2.07869173
0.942,2.08577912
0.944,2.070919411
0.946,2.040160893
0.948,2.004536815
0.95,1.975092352
0.952,1.962872477
0.954,1.974848044
0.956,2.003466656
0.958,2.037941097
0.96,2.067484148
0.962,2.081351083
0.964,2.075073284
0.966,2.057034935
0.968,2.037193971
0.97,2.025508323
0.972,2.031673258
0.974,2.056438559
